diameter_m,scenario_id,stable_target_hit,localization_error_m,representative_localization_error_m,stable_target_count,candidate_cell_precision,candidate_cell_recall
18000.0,baseline,False,5141.9840528729765,3000.0,4,0.2647058823529412,1.0
18000.0,weight_noise_30,False,,,0,0.28125,1.0
18000.0,one_period_shifted,False,11672.617529928752,6708.203932499369,1,0.28125,1.0
15000.0,baseline,True,3250.0,3000.0,5,0.2647058823529412,1.0
15000.0,weight_noise_30,False,5003.124024047375,3000.0,1,0.28125,1.0
15000.0,one_period_shifted,False,11672.617529928752,6708.203932499369,1,0.28125,1.0
12000.0,baseline,True,3144.6603773522006,3000.0,7,0.2647058823529412,1.0
12000.0,weight_noise_30,False,5003.124024047375,3000.0,1,0.28125,1.0
12000.0,one_period_shifted,False,9604.686356149274,6708.203932499369,1,0.3,1.0
9000.0,baseline,True,1500.0,3000.0,7,0.2647058823529412,1.0
9000.0,weight_noise_30,False,4743.416490252569,3000.0,3,0.3,1.0
9000.0,one_period_shifted,False,9604.686356149274,6708.203932499369,1,0.3,1.0
