scenario_id,target_count,stable_target_count,matched_baseline_count,baseline_target_recall,scenario_target_precision,label,factor,direction,status,period_metrics_reused,output_dir,candidate_cell_count,reason,equivalence,execution_mode
adjacency_loose,81.0,18.0,81.0,1.0,1.0,邻接容差放宽,edge_tolerance_m,high,equivalent_to_baseline,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\adjacency_loose,696.0,,"{'海西期': {'equivalent': True, 'baseline_edges': 7078, 'scenario_edges': 7078}, '喜山期': {'equivalent': True, 'baseline_edges': 5480, 'scenario_edges': 5480}, '印支燕山期': {'equivalent': True, 'baseline_edges': 6842, 'scenario_edges': 6842}}",
adjacency_tight,81.0,18.0,81.0,1.0,1.0,邻接容差收紧,edge_tolerance_m,low,equivalent_to_baseline,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\adjacency_tight,696.0,,"{'海西期': {'equivalent': True, 'baseline_edges': 7078, 'scenario_edges': 7078}, '喜山期': {'equivalent': True, 'baseline_edges': 5480, 'scenario_edges': 5480}, '印支燕山期': {'equivalent': True, 'baseline_edges': 6842, 'scenario_edges': 6842}}",
baseline,81.0,18.0,81.0,1.0,1.0,基准配置,baseline,baseline,completed,True,artifacts\experiment\target-screening-mvp-v2\final,696.0,,,
cluster_eps_high,81.0,18.0,81.0,1.0,1.0,聚类半径 +1/6,cluster_eps_m,high,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\cluster_eps_high,696.0,,,
cluster_eps_low,81.0,18.0,81.0,1.0,1.0,聚类半径 -1/6,cluster_eps_m,low,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\cluster_eps_low,696.0,,,
diameter_high,59.0,9.0,59.0,0.7283950617283951,1.0,最大直径 +1/6,max_diameter_m,high,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\diameter_high,696.0,,,
diameter_low,95.0,20.0,81.0,1.0,0.8526315789473684,最大直径 -1/6,max_diameter_m,low,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\diameter_low,696.0,,,
distance_inverse_sqrt,81.0,18.0,81.0,1.0,1.0,以 inverse_sqrt 为基准距离变换,distance_transform,inverse_sqrt,completed,False,artifacts\experiment\p2-p3-v2\p2\scenario_runs\distance_inverse_sqrt,696.0,,,shared_exact_distance_metrics
distance_neglog,81.0,14.0,77.0,0.9506172839506173,0.9506172839506173,以 neglog 为基准距离变换,distance_transform,neglog,completed,False,artifacts\experiment\p2-p3-v2\p2\scenario_runs\distance_neglog,696.0,,,shared_exact_distance_metrics
grid_step_high,,,,,,网格步长 +10%,grid_step_m,high,excluded_requires_raw_regridding,False,artifacts\experiment\p2-p3-v2\p2\scenario_runs\grid_step_high,,现有输入是固定网格统计 CSV；仅修改 step_m 会破坏邻接几何。网格尺度敏感性必须从同坐标系原始断裂线重新网格化。,,
grid_step_low,,,,,,网格步长 -10%,grid_step_m,low,excluded_requires_raw_regridding,False,artifacts\experiment\p2-p3-v2\p2\scenario_runs\grid_step_low,,现有输入是固定网格统计 CSV；仅修改 step_m 会破坏邻接几何。网格尺度敏感性必须从同坐标系原始断裂线重新网格化。,,
matching_loose,83.0,2.0,68.0,0.8395061728395061,0.8192771084337349,跨期匹配容差放宽,match_tolerance_m,high,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\matching_loose,696.0,,,
matching_tight,68.0,15.0,66.0,0.8148148148148148,0.9705882352941176,跨期匹配容差收紧,match_tolerance_m,low,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\matching_tight,559.0,,,
quantile_high,66.0,21.0,65.0,0.8024691358024691,0.9848484848484849,候选分位数提高,candidate_quantile,high,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\quantile_high,522.0,,,
quantile_low,97.0,11.0,78.0,0.9629629629629629,0.8041237113402062,候选分位数降低,candidate_quantile,low,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\quantile_low,870.0,,,
weight_persistence,81.0,18.0,81.0,1.0,1.0,增强多期持续性权重,score_weights,persistence,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\weight_persistence,696.0,,,
weight_topology,81.0,20.0,78.0,0.9629629629629629,0.9629629629629629,增强网络关键性权重,score_weights,topology,completed,True,artifacts\experiment\p2-p3-v2\p2\scenario_runs\weight_topology,696.0,,,
